ELEMENT,Axis_0,Axis_1,CANAPE_CODE,MIXED,NEO,PALAEO
1325000:-1625000,1325000,-1625000,0,0,0,0
1325000:-1675000,1325000,-1675000,0,0,0,0
1325000:-1725000,1325000,-1725000,0,0,0,0
1325000:-1775000,1325000,-1775000,0,0,0,0
1325000:-1825000,1325000,-1825000,0,0,0,0
1325000:-1875000,1325000,-1875000,0,0,0,0
1325000:-1925000,1325000,-1925000,0,0,0,0
1325000:-1975000,1325000,-1975000,0,0,0,0
1325000:-2025000,1325000,-2025000,0,0,0,0
1325000:-2075000,1325000,-2075000,0,0,0,0
1325000:-2125000,1325000,-2125000,0,0,0,0
1325000:-2175000,1325000,-2175000,0,0,0,0
1325000:-2225000,1325000,-2225000,0,0,0,0
1325000:-2275000,1325000,-2275000,0,0,0,0
1325000:-2325000,1325000,-2325000,0,0,0,0
1325000:-2375000,1325000,-2375000,0,0,0,0
1325000:-2425000,1325000,-2425000,0,0,0,0
1325000:-2475000,1325000,-2475000,0,0,0,0
1325000:-2525000,1325000,-2525000,0,0,0,0
1325000:-2575000,1325000,-2575000,0,0,0,0
1325000:-2625000,1325000,-2625000,0,0,0,0
1325000:-2675000,1325000,-2675000,0,0,0,0
1325000:-2725000,1325000,-2725000,0,0,0,0
1325000:-2775000,1325000,-2775000,0,0,0,0
1325000:-2825000,1325000,-2825000,0,0,0,0
1325000:-2875000,1325000,-2875000,0,0,0,0
1325000:-2925000,1325000,-2925000,0,0,0,0
1325000:-2975000,1325000,-2975000,0,0,0,0
1325000:-3025000,1325000,-3025000,0,0,0,0
1325000:-3075000,1325000,-3075000,0,0,0,0
1325000:-3125000,1325000,-3125000,0,0,0,0
1325000:-3175000,1325000,-3175000,0,0,0,0
1325000:-3225000,1325000,-3225000,0,0,0,0
1325000:-3275000,1325000,-3275000,0,0,0,0
1325000:-3325000,1325000,-3325000,0,0,0,0
1325000:-3375000,1325000,-3375000,0,0,0,0
1325000:-3425000,1325000,-3425000,0,0,0,0
1325000:-3475000,1325000,-3475000,0,0,0,0
1325000:-3525000,1325000,-3525000,0,0,0,0
1325000:-3575000,1325000,-3575000,0,0,0,0
1325000:-3625000,1325000,-3625000,0,0,0,0
1325000:-3675000,1325000,-3675000,0,0,0,0
1325000:-3725000,1325000,-3725000,0,0,0,0
1325000:-3775000,1325000,-3775000,0,0,0,0
1325000:-3825000,1325000,-3825000,0,0,0,0
1325000:-3875000,1325000,-3875000,0,0,0,0
1325000:-3925000,1325000,-3925000,0,0,0,0
1325000:-3975000,1325000,-3975000,0,0,0,0
1325000:-4025000,1325000,-4025000,0,0,0,0
1325000:-4075000,1325000,-4075000,3,1,0,0
1325000:-4125000,1325000,-4125000,0,0,0,0
1325000:-4175000,1325000,-4175000,3,1,0,0
1325000:-4225000,1325000,-4225000,0,0,0,0
1325000:-4275000,1325000,-4275000,0,0,0,0
1325000:-4375000,1325000,-4375000,0,0,0,0
1325000:-4525000,1325000,-4525000,0,0,0,0
1325000:-4575000,1325000,-4575000,0,0,0,0
1325000:-4625000,1325000,-4625000,3,1,0,0
1325000:-4675000,1325000,-4675000,2,0,0,1
1325000:-4725000,1325000,-4725000,0,0,0,0
1325000:-4775000,1325000,-4775000,0,0,0,0
1325000:-4825000,1325000,-4825000,0,0,0,0
1375000:-1575000,1375000,-1575000,0,0,0,0
1375000:-1625000,1375000,-1625000,0,0,0,0
1375000:-1675000,1375000,-1675000,0,0,0,0
1375000:-1725000,1375000,-1725000,0,0,0,0
1375000:-1775000,1375000,-1775000,0,0,0,0
1375000:-1825000,1375000,-1825000,0,0,0,0
1375000:-1875000,1375000,-1875000,0,0,0,0
1375000:-1925000,1375000,-1925000,0,0,0,0
1375000:-1975000,1375000,-1975000,0,0,0,0
1375000:-2025000,1375000,-2025000,0,0,0,0
1375000:-2075000,1375000,-2075000,0,0,0,0
1375000:-2125000,1375000,-2125000,0,0,0,0
1375000:-2175000,1375000,-2175000,0,0,0,0
1375000:-2225000,1375000,-2225000,0,0,0,0
1375000:-2275000,1375000,-2275000,0,0,0,0
1375000:-2325000,1375000,-2325000,0,0,0,0
1375000:-2375000,1375000,-2375000,0,0,0,0
1375000:-2425000,1375000,-2425000,0,0,0,0
1375000:-2475000,1375000,-2475000,0,0,0,0
1375000:-2525000,1375000,-2525000,0,0,0,0
1375000:-2575000,1375000,-2575000,0,0,0,0
1375000:-2625000,1375000,-2625000,0,0,0,0
1375000:-2675000,1375000,-2675000,0,0,0,0
1375000:-2725000,1375000,-2725000,0,0,0,0
1375000:-2775000,1375000,-2775000,0,0,0,0
1375000:-2825000,1375000,-2825000,0,0,0,0
1375000:-2875000,1375000,-2875000,0,0,0,0
1375000:-2925000,1375000,-2925000,0,0,0,0
1375000:-2975000,1375000,-2975000,0,0,0,0
1375000:-3025000,1375000,-3025000,0,0,0,0
1375000:-3075000,1375000,-3075000,0,0,0,0
1375000:-3125000,1375000,-3125000,0,0,0,0
1375000:-3175000,1375000,-3175000,0,0,0,0
1375000:-3225000,1375000,-3225000,0,0,0,0
1375000:-3275000,1375000,-3275000,0,0,0,0
1375000:-3325000,1375000,-3325000,0,0,0,0
1375000:-3375000,1375000,-3375000,0,0,0,0
1375000:-3425000,1375000,-3425000,0,0,0,0
1375000:-3475000,1375000,-3475000,0,0,0,0
1375000:-3525000,1375000,-3525000,0,0,0,0
1375000:-3575000,1375000,-3575000,0,0,0,0
1375000:-3625000,1375000,-3625000,0,0,0,0
1375000:-3675000,1375000,-3675000,0,0,0,0
1375000:-3725000,1375000,-3725000,0,0,0,0
1375000:-3775000,1375000,-3775000,0,0,0,0
1375000:-3825000,1375000,-3825000,0,0,0,0
1375000:-3875000,1375000,-3875000,0,0,0,0
1375000:-3925000,1375000,-3925000,0,0,0,0
1375000:-3975000,1375000,-3975000,0,0,0,0
1375000:-4025000,1375000,-4025000,0,0,0,0
1375000:-4075000,1375000,-4075000,3,1,0,0
1375000:-4125000,1375000,-4125000,0,0,0,0
1375000:-4175000,1375000,-4175000,0,0,0,0
1375000:-4225000,1375000,-4225000,0,0,0,0
1375000:-4275000,1375000,-4275000,0,0,0,0
1375000:-4425000,1375000,-4425000,0,0,0,0
1375000:-4475000,1375000,-4475000,0,0,0,0
1375000:-4525000,1375000,-4525000,0,0,0,0
1375000:-4575000,1375000,-4575000,0,0,0,0
1375000:-4625000,1375000,-4625000,0,0,0,0
1375000:-4675000,1375000,-4675000,3,1,0,0
1375000:-4725000,1375000,-4725000,0,0,0,0
1375000:-4775000,1375000,-4775000,0,0,0,0
1425000:-1625000,1425000,-1625000,0,0,0,0
1425000:-1675000,1425000,-1675000,0,0,0,0
1425000:-1725000,1425000,-1725000,0,0,0,0
1425000:-1775000,1425000,-1775000,0,0,0,0
1425000:-1825000,1425000,-1825000,0,0,0,0
1425000:-1875000,1425000,-1875000,0,0,0,0
1425000:-1925000,1425000,-1925000,2,0,0,1
1425000:-1975000,1425000,-1975000,0,0,0,0
1425000:-2025000,1425000,-2025000,0,0,0,0
1425000:-2075000,1425000,-2075000,0,0,0,0
1425000:-2125000,1425000,-2125000,0,0,0,0
1425000:-2175000,1425000,-2175000,0,0,0,0
1425000:-2225000,1425000,-2225000,0,0,0,0
1425000:-2275000,1425000,-2275000,0,0,0,0
1425000:-2325000,1425000,-2325000,0,0,0,0
1425000:-2375000,1425000,-2375000,0,0,0,0
1425000:-2425000,1425000,-2425000,0,0,0,0
1425000:-2475000,1425000,-2475000,0,0,0,0
1425000:-2525000,1425000,-2525000,0,0,0,0
1425000:-2575000,1425000,-2575000,0,0,0,0
1425000:-2625000,1425000,-2625000,0,0,0,0
1425000:-2675000,1425000,-2675000,0,0,0,0
1425000:-2725000,1425000,-2725000,0,0,0,0
1425000:-2775000,1425000,-2775000,0,0,0,0
1425000:-2825000,1425000,-2825000,0,0,0,0
1425000:-2875000,1425000,-2875000,0,0,0,0
1425000:-2925000,1425000,-2925000,0,0,0,0
1425000:-2975000,1425000,-2975000,0,0,0,0
1425000:-3025000,1425000,-3025000,0,0,0,0
1425000:-3075000,1425000,-3075000,0,0,0,0
1425000:-3125000,1425000,-3125000,0,0,0,0
1425000:-3175000,1425000,-3175000,0,0,0,0
1425000:-3225000,1425000,-3225000,0,0,0,0
1425000:-3275000,1425000,-3275000,0,0,0,0
1425000:-3325000,1425000,-3325000,0,0,0,0
1425000:-3375000,1425000,-3375000,0,0,0,0
1425000:-3425000,1425000,-3425000,0,0,0,0
1425000:-3475000,1425000,-3475000,0,0,0,0
1425000:-3525000,1425000,-3525000,0,0,0,0
1425000:-3575000,1425000,-3575000,0,0,0,0
1425000:-3625000,1425000,-3625000,0,0,0,0
1425000:-3675000,1425000,-3675000,0,0,0,0
1425000:-3725000,1425000,-3725000,0,0,0,0
1425000:-3775000,1425000,-3775000,0,0,0,0
1425000:-3825000,1425000,-3825000,0,0,0,0
1425000:-3875000,1425000,-3875000,0,0,0,0
1425000:-3925000,1425000,-3925000,0,0,0,0
1425000:-3975000,1425000,-3975000,0,0,0,0
1425000:-4025000,1425000,-4025000,0,0,0,0
1425000:-4075000,1425000,-4075000,0,0,0,0
1425000:-4125000,1425000,-4125000,0,0,0,0
1425000:-4175000,1425000,-4175000,0,0,0,0
1425000:-4225000,1425000,-4225000,0,0,0,0
1425000:-4475000,1425000,-4475000,0,0,0,0
1425000:-4525000,1425000,-4525000,0,0,0,0
1475000:-1625000,1475000,-1625000,0,0,0,0
1475000:-1875000,1475000,-1875000,2,0,0,1
1475000:-1925000,1475000,-1925000,0,0,0,0
1475000:-1975000,1475000,-1975000,0,0,0,0
1475000:-2025000,1475000,-2025000,0,0,0,0
1475000:-2075000,1475000,-2075000,0,0,0,0
1475000:-2125000,1475000,-2125000,0,0,0,0
1475000:-2175000,1475000,-2175000,0,0,0,0
1475000:-2225000,1475000,-2225000,0,0,0,0
1475000:-2275000,1475000,-2275000,0,0,0,0
1475000:-2325000,1475000,-2325000,0,0,0,0
1475000:-2375000,1475000,-2375000,0,0,0,0
1475000:-2425000,1475000,-2425000,0,0,0,0
1475000:-2475000,1475000,-2475000,0,0,0,0
1475000:-2525000,1475000,-2525000,0,0,0,0
1475000:-2575000,1475000,-2575000,0,0,0,0
1475000:-2625000,1475000,-2625000,0,0,0,0
1475000:-2675000,1475000,-2675000,0,0,0,0
1475000:-2725000,1475000,-2725000,3,1,0,0
1475000:-2775000,1475000,-2775000,0,0,0,0
1475000:-2825000,1475000,-2825000,0,0,0,0
1475000:-2875000,1475000,-2875000,0,0,0,0
1475000:-2925000,1475000,-2925000,0,0,0,0
1475000:-2975000,1475000,-2975000,0,0,0,0
1475000:-3025000,1475000,-3025000,0,0,0,0
1475000:-3075000,1475000,-3075000,0,0,0,0
1475000:-3125000,1475000,-3125000,0,0,0,0
1475000:-3175000,1475000,-3175000,0,0,0,0
1475000:-3225000,1475000,-3225000,0,0,0,0
1475000:-3275000,1475000,-3275000,0,0,0,0
1475000:-3325000,1475000,-3325000,0,0,0,0
1475000:-3375000,1475000,-3375000,0,0,0,0
1475000:-3425000,1475000,-3425000,0,0,0,0
1475000:-3475000,1475000,-3475000,0,0,0,0
1475000:-3525000,1475000,-3525000,0,0,0,0
1475000:-3575000,1475000,-3575000,0,0,0,0
1475000:-3625000,1475000,-3625000,0,0,0,0
1475000:-3675000,1475000,-3675000,0,0,0,0
1475000:-3725000,1475000,-3725000,0,0,0,0
1475000:-3775000,1475000,-3775000,0,0,0,0
1475000:-3825000,1475000,-3825000,0,0,0,0
1475000:-3875000,1475000,-3875000,0,0,0,0
1475000:-3925000,1475000,-3925000,0,0,0,0
1475000:-3975000,1475000,-3975000,0,0,0,0
1475000:-4025000,1475000,-4025000,0,0,0,0
1475000:-4075000,1475000,-4075000,3,1,0,0
1475000:-4125000,1475000,-4125000,0,0,0,0
1475000:-4175000,1475000,-4175000,0,0,0,0
1475000:-4225000,1475000,-4225000,0,0,0,0
1525000:-2025000,1525000,-2025000,0,0,0,0
1525000:-2075000,1525000,-2075000,0,0,0,0
1525000:-2125000,1525000,-2125000,0,0,0,0
1525000:-2175000,1525000,-2175000,0,0,0,0
1525000:-2225000,1525000,-2225000,0,0,0,0
1525000:-2275000,1525000,-2275000,0,0,0,0
1525000:-2325000,1525000,-2325000,0,0,0,0
1525000:-2375000,1525000,-2375000,0,0,0,0
1525000:-2425000,1525000,-2425000,0,0,0,0
1525000:-2475000,1525000,-2475000,0,0,0,0
1525000:-2525000,1525000,-2525000,0,0,0,0
1525000:-2575000,1525000,-2575000,0,0,0,0
1525000:-2625000,1525000,-2625000,0,0,0,0
1525000:-2675000,1525000,-2675000,0,0,0,0
1525000:-2725000,1525000,-2725000,0,0,0,0
1525000:-2775000,1525000,-2775000,0,0,0,0
1525000:-2825000,1525000,-2825000,0,0,0,0
1525000:-2875000,1525000,-2875000,0,0,0,0
1525000:-2925000,1525000,-2925000,0,0,0,0
1525000:-2975000,1525000,-2975000,0,0,0,0
1525000:-3025000,1525000,-3025000,0,0,0,0
1525000:-3075000,1525000,-3075000,0,0,0,0
1525000:-3125000,1525000,-3125000,0,0,0,0
1525000:-3175000,1525000,-3175000,0,0,0,0
1525000:-3225000,1525000,-3225000,0,0,0,0
1525000:-3275000,1525000,-3275000,0,0,0,0
1525000:-3325000,1525000,-3325000,0,0,0,0
1525000:-3375000,1525000,-3375000,0,0,0,0
1525000:-3425000,1525000,-3425000,0,0,0,0
1525000:-3475000,1525000,-3475000,0,0,0,0
1525000:-3525000,1525000,-3525000,0,0,0,0
1525000:-3575000,1525000,-3575000,0,0,0,0
1525000:-3625000,1525000,-3625000,0,0,0,0
1525000:-3675000,1525000,-3675000,0,0,0,0
1525000:-3725000,1525000,-3725000,0,0,0,0
1525000:-3775000,1525000,-3775000,0,0,0,0
1525000:-3825000,1525000,-3825000,0,0,0,0
1525000:-3875000,1525000,-3875000,0,0,0,0
1525000:-3925000,1525000,-3925000,0,0,0,0
1525000:-3975000,1525000,-3975000,0,0,0,0
1525000:-4025000,1525000,-4025000,0,0,0,0
1525000:-4075000,1525000,-4075000,0,0,0,0
1525000:-4125000,1525000,-4125000,0,0,0,0
1525000:-4175000,1525000,-4175000,0,0,0,0
1525000:-4225000,1525000,-4225000,0,0,0,0
1575000:-2125000,1575000,-2125000,0,0,0,0
1575000:-2175000,1575000,-2175000,0,0,0,0
1575000:-2225000,1575000,-2225000,0,0,0,0
1575000:-2275000,1575000,-2275000,0,0,0,0
1575000:-2325000,1575000,-2325000,0,0,0,0
1575000:-2375000,1575000,-2375000,0,0,0,0
1575000:-2425000,1575000,-2425000,0,0,0,0
1575000:-2475000,1575000,-2475000,0,0,0,0
1575000:-2525000,1575000,-2525000,0,0,0,0
1575000:-2575000,1575000,-2575000,0,0,0,0
1575000:-2625000,1575000,-2625000,0,0,0,0
1575000:-2675000,1575000,-2675000,0,0,0,0
1575000:-2725000,1575000,-2725000,0,0,0,0
1575000:-2775000,1575000,-2775000,0,0,0,0
1575000:-2825000,1575000,-2825000,0,0,0,0
1575000:-2875000,1575000,-2875000,0,0,0,0
1575000:-2925000,1575000,-2925000,0,0,0,0
1575000:-2975000,1575000,-2975000,0,0,0,0
1575000:-3025000,1575000,-3025000,0,0,0,0
1575000:-3075000,1575000,-3075000,0,0,0,0
1575000:-3125000,1575000,-3125000,0,0,0,0
1575000:-3175000,1575000,-3175000,0,0,0,0
1575000:-3225000,1575000,-3225000,0,0,0,0
1575000:-3275000,1575000,-3275000,0,0,0,0
1575000:-3325000,1575000,-3325000,0,0,0,0
1575000:-3375000,1575000,-3375000,0,0,0,0
1575000:-3425000,1575000,-3425000,0,0,0,0
1575000:-3475000,1575000,-3475000,0,0,0,0
1575000:-3525000,1575000,-3525000,0,0,0,0
1575000:-3575000,1575000,-3575000,0,0,0,0
1575000:-3625000,1575000,-3625000,0,0,0,0
1575000:-3675000,1575000,-3675000,0,0,0,0
1575000:-3725000,1575000,-3725000,0,0,0,0
1575000:-3775000,1575000,-3775000,0,0,0,0
1575000:-3825000,1575000,-3825000,0,0,0,0
1575000:-3875000,1575000,-3875000,0,0,0,0
1575000:-3925000,1575000,-3925000,0,0,0,0
1575000:-3975000,1575000,-3975000,3,1,0,0
1575000:-4025000,1575000,-4025000,3,1,0,0
1575000:-4075000,1575000,-4075000,3,1,0,0
1575000:-4125000,1575000,-4125000,3,1,0,0
1575000:-4175000,1575000,-4175000,2,0,0,1
1575000:-4225000,1575000,-4225000,0,0,0,0
1625000:-2175000,1625000,-2175000,0,0,0,0
1625000:-2225000,1625000,-2225000,0,0,0,0
1625000:-2275000,1625000,-2275000,0,0,0,0
1625000:-2325000,1625000,-2325000,0,0,0,0
1625000:-2375000,1625000,-2375000,0,0,0,0
1625000:-2425000,1625000,-2425000,0,0,0,0
1625000:-2475000,1625000,-2475000,0,0,0,0
1625000:-2525000,1625000,-2525000,0,0,0,0
1625000:-2575000,1625000,-2575000,0,0,0,0
1625000:-2625000,1625000,-2625000,0,0,0,0
1625000:-2675000,1625000,-2675000,0,0,0,0
1625000:-2725000,1625000,-2725000,0,0,0,0
1625000:-2775000,1625000,-2775000,0,0,0,0
1625000:-2825000,1625000,-2825000,0,0,0,0
1625000:-2875000,1625000,-2875000,0,0,0,0
1625000:-2925000,1625000,-2925000,0,0,0,0
1625000:-2975000,1625000,-2975000,0,0,0,0
1625000:-3025000,1625000,-3025000,1,0,1,0
1625000:-3075000,1625000,-3075000,0,0,0,0
1625000:-3125000,1625000,-3125000,0,0,0,0
1625000:-3175000,1625000,-3175000,0,0,0,0
1625000:-3225000,1625000,-3225000,0,0,0,0
1625000:-3275000,1625000,-3275000,0,0,0,0
1625000:-3325000,1625000,-3325000,0,0,0,0
1625000:-3375000,1625000,-3375000,0,0,0,0
1625000:-3425000,1625000,-3425000,0,0,0,0
1625000:-3475000,1625000,-3475000,0,0,0,0
1625000:-3525000,1625000,-3525000,0,0,0,0
1625000:-3575000,1625000,-3575000,0,0,0,0
1625000:-3625000,1625000,-3625000,3,1,0,0
1625000:-3675000,1625000,-3675000,0,0,0,0
1625000:-3725000,1625000,-3725000,0,0,0,0
1625000:-3775000,1625000,-3775000,0,0,0,0
1625000:-3825000,1625000,-3825000,0,0,0,0
1625000:-3875000,1625000,-3875000,0,0,0,0
1625000:-3925000,1625000,-3925000,0,0,0,0
1625000:-3975000,1625000,-3975000,0,0,0,0
1625000:-4025000,1625000,-4025000,3,1,0,0
1625000:-4075000,1625000,-4075000,1,0,1,0
1625000:-4125000,1625000,-4125000,1,0,1,0
1625000:-4175000,1625000,-4175000,0,0,0,0
1675000:-2225000,1675000,-2225000,0,0,0,0
1675000:-2275000,1675000,-2275000,0,0,0,0
1675000:-2325000,1675000,-2325000,3,1,0,0
1675000:-2375000,1675000,-2375000,0,0,0,0
1675000:-2425000,1675000,-2425000,0,0,0,0
1675000:-2475000,1675000,-2475000,0,0,0,0
1675000:-2525000,1675000,-2525000,0,0,0,0
1675000:-2575000,1675000,-2575000,0,0,0,0
1675000:-2625000,1675000,-2625000,0,0,0,0
1675000:-2675000,1675000,-2675000,0,0,0,0
1675000:-2725000,1675000,-2725000,0,0,0,0
1675000:-2775000,1675000,-2775000,0,0,0,0
1675000:-2825000,1675000,-2825000,0,0,0,0
1675000:-2875000,1675000,-2875000,0,0,0,0
1675000:-2925000,1675000,-2925000,0,0,0,0
1675000:-2975000,1675000,-2975000,0,0,0,0
1675000:-3025000,1675000,-3025000,0,0,0,0
1675000:-3075000,1675000,-3075000,0,0,0,0
1675000:-3125000,1675000,-3125000,0,0,0,0
1675000:-3175000,1675000,-3175000,0,0,0,0
1675000:-3225000,1675000,-3225000,0,0,0,0
1675000:-3275000,1675000,-3275000,0,0,0,0
1675000:-3325000,1675000,-3325000,0,0,0,0
1675000:-3375000,1675000,-3375000,0,0,0,0
1675000:-3425000,1675000,-3425000,0,0,0,0
1675000:-3475000,1675000,-3475000,0,0,0,0
1675000:-3525000,1675000,-3525000,0,0,0,0
1675000:-3575000,1675000,-3575000,0,0,0,0
1675000:-3625000,1675000,-3625000,0,0,0,0
1675000:-3675000,1675000,-3675000,0,0,0,0
1675000:-3725000,1675000,-3725000,0,0,0,0
1675000:-3775000,1675000,-3775000,3,1,0,0
1675000:-3825000,1675000,-3825000,3,1,0,0
1675000:-3875000,1675000,-3875000,3,1,0,0
1675000:-3925000,1675000,-3925000,0,0,0,0
1675000:-3975000,1675000,-3975000,3,1,0,0
1675000:-4025000,1675000,-4025000,0,0,0,0
1725000:-2275000,1725000,-2275000,0,0,0,0
1725000:-2325000,1725000,-2325000,0,0,0,0
1725000:-2375000,1725000,-2375000,0,0,0,0
1725000:-2425000,1725000,-2425000,0,0,0,0
1725000:-2475000,1725000,-2475000,0,0,0,0
1725000:-2525000,1725000,-2525000,0,0,0,0
1725000:-2575000,1725000,-2575000,0,0,0,0
1725000:-2625000,1725000,-2625000,0,0,0,0
1725000:-2675000,1725000,-2675000,0,0,0,0
1725000:-2725000,1725000,-2725000,0,0,0,0
1725000:-2775000,1725000,-2775000,0,0,0,0
1725000:-2825000,1725000,-2825000,0,0,0,0
1725000:-2875000,1725000,-2875000,0,0,0,0
1725000:-2925000,1725000,-2925000,0,0,0,0
1725000:-2975000,1725000,-2975000,0,0,0,0
1725000:-3025000,1725000,-3025000,0,0,0,0
1725000:-3075000,1725000,-3075000,0,0,0,0
1725000:-3125000,1725000,-3125000,0,0,0,0
1725000:-3175000,1725000,-3175000,0,0,0,0
1725000:-3225000,1725000,-3225000,0,0,0,0
1725000:-3275000,1725000,-3275000,0,0,0,0
1725000:-3325000,1725000,-3325000,0,0,0,0
1725000:-3375000,1725000,-3375000,0,0,0,0
1725000:-3425000,1725000,-3425000,0,0,0,0
1725000:-3475000,1725000,-3475000,0,0,0,0
1725000:-3525000,1725000,-3525000,0,0,0,0
1725000:-3575000,1725000,-3575000,0,0,0,0
1725000:-3625000,1725000,-3625000,3,1,0,0
1725000:-3675000,1725000,-3675000,3,1,0,0
1725000:-3725000,1725000,-3725000,3,1,0,0
1725000:-3775000,1725000,-3775000,0,0,0,0
1725000:-3825000,1725000,-3825000,0,0,0,0
1725000:-3875000,1725000,-3875000,3,1,0,0
1725000:-3925000,1725000,-3925000,3,1,0,0
1725000:-3975000,1725000,-3975000,0,0,0,0
175000:-1225000,175000,-1225000,0,0,0,0
175000:-1275000,175000,-1275000,0,0,0,0
175000:-1325000,175000,-1325000,0,0,0,0
175000:-1375000,175000,-1375000,0,0,0,0
175000:-1425000,175000,-1425000,0,0,0,0
175000:-1475000,175000,-1475000,3,1,0,0
175000:-1525000,175000,-1525000,0,0,0,0
175000:-1575000,175000,-1575000,0,0,0,0
175000:-1625000,175000,-1625000,0,0,0,0
175000:-1675000,175000,-1675000,0,0,0,0
175000:-1725000,175000,-1725000,0,0,0,0
175000:-1775000,175000,-1775000,0,0,0,0
175000:-1825000,175000,-1825000,0,0,0,0
175000:-1875000,175000,-1875000,0,0,0,0
175000:-1925000,175000,-1925000,0,0,0,0
175000:-1975000,175000,-1975000,0,0,0,0
175000:-2025000,175000,-2025000,0,0,0,0
175000:-2075000,175000,-2075000,0,0,0,0
175000:-2125000,175000,-2125000,0,0,0,0
175000:-2175000,175000,-2175000,0,0,0,0
175000:-2225000,175000,-2225000,0,0,0,0
175000:-2275000,175000,-2275000,0,0,0,0
175000:-2325000,175000,-2325000,0,0,0,0
175000:-2375000,175000,-2375000,0,0,0,0
175000:-2425000,175000,-2425000,0,0,0,0
175000:-2475000,175000,-2475000,0,0,0,0
175000:-2525000,175000,-2525000,0,0,0,0
175000:-2575000,175000,-2575000,0,0,0,0
175000:-2625000,175000,-2625000,0,0,0,0
175000:-2675000,175000,-2675000,0,0,0,0
175000:-2725000,175000,-2725000,0,0,0,0
175000:-2775000,175000,-2775000,0,0,0,0
175000:-2825000,175000,-2825000,0,0,0,0
175000:-2875000,175000,-2875000,0,0,0,0
175000:-2925000,175000,-2925000,0,0,0,0
175000:-2975000,175000,-2975000,0,0,0,0
175000:-3025000,175000,-3025000,0,0,0,0
175000:-3075000,175000,-3075000,0,0,0,0
175000:-3125000,175000,-3125000,0,0,0,0
175000:-3175000,175000,-3175000,0,0,0,0
175000:-3225000,175000,-3225000,0,0,0,0
175000:-3275000,175000,-3275000,0,0,0,0
175000:-3325000,175000,-3325000,0,0,0,0
175000:-3375000,175000,-3375000,0,0,0,0
175000:-3425000,175000,-3425000,0,0,0,0
175000:-3475000,175000,-3475000,0,0,0,0
175000:-3525000,175000,-3525000,0,0,0,0
175000:-3575000,175000,-3575000,0,0,0,0
1775000:-2275000,1775000,-2275000,0,0,0,0
1775000:-2325000,1775000,-2325000,3,1,0,0
1775000:-2375000,1775000,-2375000,0,0,0,0
1775000:-2425000,1775000,-2425000,0,0,0,0
1775000:-2475000,1775000,-2475000,0,0,0,0
1775000:-2525000,1775000,-2525000,0,0,0,0
1775000:-2575000,1775000,-2575000,0,0,0,0
1775000:-2625000,1775000,-2625000,0,0,0,0
1775000:-2675000,1775000,-2675000,0,0,0,0
1775000:-2725000,1775000,-2725000,0,0,0,0
1775000:-2775000,1775000,-2775000,0,0,0,0
1775000:-2825000,1775000,-2825000,0,0,0,0
1775000:-2875000,1775000,-2875000,0,0,0,0
1775000:-2925000,1775000,-2925000,0,0,0,0
1775000:-2975000,1775000,-2975000,0,0,0,0
1775000:-3025000,1775000,-3025000,0,0,0,0
1775000:-3075000,1775000,-3075000,0,0,0,0
1775000:-3125000,1775000,-3125000,0,0,0,0
1775000:-3175000,1775000,-3175000,0,0,0,0
1775000:-3225000,1775000,-3225000,0,0,0,0
1775000:-3275000,1775000,-3275000,0,0,0,0
1775000:-3325000,1775000,-3325000,0,0,0,0
1775000:-3375000,1775000,-3375000,3,1,0,0
1775000:-3425000,1775000,-3425000,0,0,0,0
1775000:-3475000,1775000,-3475000,0,0,0,0
1775000:-3525000,1775000,-3525000,0,0,0,0
1775000:-3575000,1775000,-3575000,0,0,0,0
1775000:-3625000,1775000,-3625000,0,0,0,0
1775000:-3675000,1775000,-3675000,1,0,1,0
1775000:-3725000,1775000,-3725000,1,0,1,0
1775000:-3775000,1775000,-3775000,1,0,1,0
1775000:-3825000,1775000,-3825000,1,0,1,0
1775000:-3875000,1775000,-3875000,0,0,0,0
1825000:-2425000,1825000,-2425000,0,0,0,0
1825000:-2525000,1825000,-2525000,0,0,0,0
1825000:-2575000,1825000,-2575000,0,0,0,0
1825000:-2625000,1825000,-2625000,0,0,0,0
1825000:-2675000,1825000,-2675000,0,0,0,0
1825000:-2725000,1825000,-2725000,0,0,0,0
1825000:-2775000,1825000,-2775000,0,0,0,0
1825000:-2825000,1825000,-2825000,0,0,0,0
1825000:-2875000,1825000,-2875000,0,0,0,0
1825000:-2925000,1825000,-2925000,0,0,0,0
1825000:-2975000,1825000,-2975000,0,0,0,0
1825000:-3025000,1825000,-3025000,0,0,0,0
1825000:-3075000,1825000,-3075000,0,0,0,0
1825000:-3125000,1825000,-3125000,0,0,0,0
1825000:-3175000,1825000,-3175000,0,0,0,0
1825000:-3225000,1825000,-3225000,0,0,0,0
1825000:-3275000,1825000,-3275000,0,0,0,0
1825000:-3325000,1825000,-3325000,3,1,0,0
1825000:-3375000,1825000,-3375000,0,0,0,0
1825000:-3425000,1825000,-3425000,0,0,0,0
1825000:-3475000,1825000,-3475000,0,0,0,0
1825000:-3525000,1825000,-3525000,0,0,0,0
1825000:-3575000,1825000,-3575000,3,1,0,0
1825000:-3625000,1825000,-3625000,3,1,0,0
1825000:-3675000,1825000,-3675000,0,0,0,0
1825000:-3725000,1825000,-3725000,3,1,0,0
1825000:-3775000,1825000,-3775000,0,0,0,0
1875000:-2475000,1875000,-2475000,0,0,0,0
1875000:-2525000,1875000,-2525000,0,0,0,0
